datetime,symbol,open,high,low,close,volume
2021-06-01,BITKUB:BTCTHB,1180900.0,1200600.0,1145000.0,1149000.0,285.37584511
2021-06-02,BITKUB:BTCTHB,1148500.0,1205000.0,1144899.0,1194543.94,269.74866587
2021-06-03,BITKUB:BTCTHB,1191000.29,1240000.0,1175015.42,1228596.0,240.26766449
2021-06-04,BITKUB:BTCTHB,1227060.0,1244199.99,1150000.0,1174997.89,250.99842071
2021-06-05,BITKUB:BTCTHB,1175000.0,1199999.0,1135000.0,1156000.0,192.53820414
2021-06-06,BITKUB:BTCTHB,1156499.93,1164444.0,1125014.0,1153000.0,152.21865366
2021-06-07,BITKUB:BTCTHB,1152500.0,1167000.0,1135080.0,1136499.28,160.12440983
2021-06-08,BITKUB:BTCTHB,1136499.03,1145998.95,985001.0,1022040.18,751.94178074
2021-06-09,BITKUB:BTCTHB,1022055.0,1156900.0,1014682.73,1150000.05,414.94206318
2021-06-10,BITKUB:BTCTHB,1150000.0,1200000.0,1127000.0,1159550.0,401.95991435
2021-06-11,BITKUB:BTCTHB,1159550.0,1182499.94,1135289.0,1153000.0,213.25156235
2021-06-12,BITKUB:BTCTHB,1153000.0,1182000.0,1110000.0,1131614.35,303.43846497
2021-06-13,BITKUB:BTCTHB,1131700.0,1170000.0,1112000.0,1160300.22,171.96646278
2021-06-14,BITKUB:BTCTHB,1162500.0,1300000.0,1155002.27,1259000.0,593.37165031
2021-06-15,BITKUB:BTCTHB,1256999.98,1279995.0,1232770.0,1257000.19,222.07213228
2021-06-16,BITKUB:BTCTHB,1257000.19,1289000.01,1220000.0,1222999.62,273.68289596
2021-06-17,BITKUB:BTCTHB,1222999.56,1259100.0,1218000.0,1224866.98,207.20133163
2021-06-18,BITKUB:BTCTHB,1224864.93,1227995.86,1154760.0,1169986.97,271.860066
2021-06-19,BITKUB:BTCTHB,1169000.19,1169979.94,1120000.0,1142001.05,207.5537689
2021-06-20,BITKUB:BTCTHB,1142998.43,1150250.12,1068700.03,1108658.55,270.05445839
2021-06-21,BITKUB:BTCTHB,1105665.02,1145000.0,1025000.0,1034249.53,356.07021066
2021-06-22,BITKUB:BTCTHB,1031002.11,1068000.0,915591.0,1044999.0,823.71920073
2021-06-23,BITKUB:BTCTHB,1044998.99,1109998.0,1006000.01,1067500.19,392.37715418
2021-06-24,BITKUB:BTCTHB,1069005.01,1096451.0,1035000.0,1094998.95,251.53017197
2021-06-25,BITKUB:BTCTHB,1094999.0,1125000.0,1020000.0,1024997.76,340.00274538
2021-06-26,BITKUB:BTCTHB,1024500.0,1050000.0,978001.0,1006999.94,500.58283825
2021-06-27,BITKUB:BTCTHB,1006998.77,1064232.0,997000.0,1051000.0,327.36621193
2021-06-28,BITKUB:BTCTHB,1051000.0,1115500.0,1042000.01,1096990.0,322.33020965
2021-06-29,BITKUB:BTCTHB,1096999.99,1161300.0,1080001.0,1153821.9,380.4620789
2021-06-30,BITKUB:BTCTHB,1153821.9,1160000.0,1088000.0,1097250.0,327.31296113
2021-07-01,BITKUB:BTCTHB,1097204.94,1127887.98,1058942.08,1067098.92,286.99216417
2021-07-02,BITKUB:BTCTHB,1067008.8,1084958.0,1055000.0,1075550.02,154.33785751
2021-07-03,BITKUB:BTCTHB,1076999.99,1108001.0,1061412.72,1102000.0,199.88247758
2021-07-04,BITKUB:BTCTHB,1101995.0,1132000.0,1092015.0,1123697.96,209.8231779
2021-07-05,BITKUB:BTCTHB,1123697.75,1130000.0,1068000.0,1081498.69,265.77758039
2021-07-06,BITKUB:BTCTHB,1081479.94,1112199.99,1070000.0,1090665.95,217.9329271
2021-07-07,BITKUB:BTCTHB,1088998.05,1112999.0,1080000.0,1101305.71,182.19968379
2021-07-08,BITKUB:BTCTHB,1101306.24,1109899.0,1052000.0,1070715.84,324.18385327
2021-07-09,BITKUB:BTCTHB,1070716.37,1095500.0,1059000.0,1086000.0,165.34023245
2021-07-10,BITKUB:BTCTHB,1085000.0,1102000.0,1080000.0,1097001.01,135.3530578
2021-07-11,BITKUB:BTCTHB,1098999.6,1100000.0,1077000.05,1098100.0,105.30493109
2021-07-12,BITKUB:BTCTHB,1098100.0,1115000.0,1082456.0,1082900.0,233.64277919
2021-07-13,BITKUB:BTCTHB,1082900.0,1092000.0,1064000.0,1077500.35,157.83464767
2021-07-14,BITKUB:BTCTHB,1077500.35,1081578.99,1047000.0,1076698.95,218.42861509
2021-07-15,BITKUB:BTCTHB,1076699.0,1082999.0,1040000.0,1040000.3,170.61702006
2021-07-16,BITKUB:BTCTHB,1040005.0,1059500.0,1026480.03,1054000.14,168.28033165
2021-07-17,BITKUB:BTCTHB,1054800.0,1057000.0,1030000.0,1044057.06,90.77129184
2021-07-18,BITKUB:BTCTHB,1044056.68,1060500.0,1022555.0,1034796.93,140.33552023
2021-07-19,BITKUB:BTCTHB,1034796.04,1047000.0,1014495.0,1019001.01,176.4637288
2021-07-20,BITKUB:BTCTHB,1019001.26,1027888.0,980000.0,987999.88,323.9128227
2021-07-21,BITKUB:BTCTHB,987999.07,1064000.0,981000.0,1053010.0,254.66483166
2021-07-22,BITKUB:BTCTHB,1053010.0,1070000.0,1034650.0,1059999.95,202.48672976
2021-07-23,BITKUB:BTCTHB,1059000.18,1074618.99,1048000.02,1057999.87,149.0592974
2021-07-24,BITKUB:BTCTHB,1056050.0,1120000.0,1053665.0,1120000.0,283.80981098
2021-07-25,BITKUB:BTCTHB,1120000.0,1138000.0,1100500.0,1119999.0,270.86397368
2021-07-26,BITKUB:BTCTHB,1120000.0,1260000.0,1118700.02,1255000.0,546.86994062
2021-07-27,BITKUB:BTCTHB,1255000.99,1290000.0,1181500.01,1226544.2,561.73302421
2021-07-28,BITKUB:BTCTHB,1229000.0,1328000.0,1223000.0,1309998.87,520.29877071
2021-07-29,BITKUB:BTCTHB,1309998.87,1324999.0,1267800.0,1297999.95,330.67017289
2021-07-30,BITKUB:BTCTHB,1296060.31,1315000.0,1256781.0,1278665.94,379.5514921
2021-07-31,BITKUB:BTCTHB,1278665.84,1371110.99,1278665.0,1350000.0,461.34374757
2021-08-01,BITKUB:BTCTHB,1350000.0,1391999.09,1340000.0,1359799.41,379.48063455
2021-08-02,BITKUB:BTCTHB,1357510.0,1365999.99,1282210.0,1308888.78,415.71477589
2021-08-03,BITKUB:BTCTHB,1308888.97,1312998.93,1254100.06,1269900.0,294.42244731
2021-08-04,BITKUB:BTCTHB,1267965.24,1302997.99,1250010.0,1300500.09,250.78263558
2021-08-05,BITKUB:BTCTHB,1300979.29,1307000.0,1240010.0,1300000.0,412.71953274
2021-08-06,BITKUB:BTCTHB,1300000.0,1400000.0,1299999.99,1390000.0,636.06627644
2021-08-07,BITKUB:BTCTHB,1386011.34,1478000.16,1382222.01,1444166.49,693.47010241
2021-08-08,BITKUB:BTCTHB,1441000.09,1500000.0,1422222.25,1464998.92,486.47894384
2021-08-09,BITKUB:BTCTHB,1464998.85,1528887.99,1424089.0,1512899.77,481.88968448
2021-08-10,BITKUB:BTCTHB,1511113.26,1535000.0,1486005.0,1496252.83,397.03769857
2021-08-11,BITKUB:BTCTHB,1496252.82,1548887.99,1495007.17,1537003.23,379.60649552
